她	ta	1
趣	qut
阏	yjmd/
嫣	yjnh/
檐	yjmk/
偃	yjrn/
衍	yjrd/
砚	yjuj/
魇	yjig/
甗	yjhw/
筵	yjvv/
赝	yjib/
弇	yjrc/
湮	yjdt/
酽	yjyy/
琰	yjwh/
堰	yjtn/
郾	yjke/
滟	yjdb/
沇	yjdy/
芫	yjcy/
谚	yjyp/
黡	yjih/
胭	yjoy/
唁	yjkk/
渰	yjdc/
墕	yjth/
棪	yjmh/
戭	yjbg/
掞	yjfh/
蝘	yjin/
鼹	yjjn/
崦	yjud/
厣	yjij/
漹	yjdh/
䶮	yjlt/
觃	yjjz/
𪩘	yjuq/
𫄧	yjsv/
𬙂	yjsb/
𬸘	yjkn/
营	ykck/
嬴	ykwn/
嘤	ykkn/
瑛	ykwy/
映	ykoy/
莺	ykcn/
萤	ykci/
婴	ykbn/
莹	ykcy/
颍	ykby/
媵	ykon/
膺	ykgo/
楹	ykmm/
萦	ykcx/
荧	ykch/
罂	ykbf/
滢	ykdy/
荥	ykcu/
潆	ykdx/
蓥	ykcj/
溁	ykdm/
茔	ykct/
媖	ykny/
䓨	ykcf/
愿	yrix/
员	yrkb/
园	yrky/
渊	yrdl/
垣	yrtd/
鼋	yryd/
沅	yrdy/
媛	yrny/
掾	yrfu/
塬	yrtx/
鸳	yrxn/
嫄	yrnx/
辕	yriy/
芫	yrcy/
涴	yrdv/
垸	yrty/
蜎	yrio/
眢	yrxo/
箢	yrvv/
羱	yryx/
𫘪	yrmx/
涌	ysdy/
佣	ysry/
壅	yswt/
甬	yssy/
饔	yswg/
鄘	ysge/
澭	ysdv/
墉	ysto/
喁	yskd/
恿	yssx/
埇	ysty/
鲬	ysyy/
曰	ytka/
乐	ytpx/
樾	ytml/
哕	ytkx/
钥	ytjo/
𬸚	ytqn/
雨	yuad/
预	yuyy/
瑜	yuwd/
御	yure/
逾	yuzd/
愈	yurx/
俞	yurd/
渔	yudy/
豫	yuyu/
愚	yutx/
渝	yudd/
裕	yupg/
育	yuwo/
瘀	yubd/
浴	yudg/
彧	yuga/
鹬	yumn/
峪	yuug/
誉	yuxk/
欤	yuyq/
谕	yuyd/
榆	yumd/
鬻	yugg/
煜	yuhl/
毓	yupi/
阈	yuma/
圉	yukg/
聿	yuyg/
吁	yuky/
钰	yujy/
瑀	yuwy/
鄅	yuye/
庾	yugr/
愉	yuxd/
盂	yuym/
屿	yuuy/
迂	yuzy/
禺	yutd/
遹	yuzk/
淯	yudo/
妤	yuny/
窳	yubg/
纡	yusy/
妪	yunq/
鹆	yugn/
俣	yurt/
喁	yukd/
燠	yuhd/
雩	yuyk/
腴	yuor/
舁	yujc/
谀	yuyr/
矞	yumk/
敔	yuww/
熨	yuuh/
潏	yudk/
堉	yuto/
嵛	yuud/
圄	yukk/
艅	yuvm/
揄	yufd/
萸	yucr/
臾	yujr/
褕	yupd/
燏	yuhk/
髃	yugd/
瘐	yubr/
觎	yurj/
龉	yuvk/
尉	yuuc/
蔚	yucc/
狳	yuqm/
伛	yurq/
蝓	yuid/
蓣	yucy/
㺄	yuqd/
蕴	yycm/
昀	yyoy/
妘	yyny/
韫	yywm/
恽	yyxi/
氲	yyqm/
缊	yysm/
郓	yybe/
耘	yyly/
筼	yyvb/
沄	yydy/
纭	yysy/
涢	yydb/
员	yykb/
馧	yyhm/
𫖳	yyyy/
游	yzdz/
呦	yzkl/
友	yzuy/
鼬	yzjy/
佑	yzrk/
邮	yzye/
幼	yzyl/
酉	yzxa/
悠	yzrx/
诱	yzyn/
宥	yzbo/
鱿	yzyy/
攸	yzrw/
囿	yzko/
卣	yzbk/
侑	yzro/
铕	yzjo/
猷	yzbq/
牖	yzpf/
莠	yzcn/
羑	yzyj/
莜	yzcw/
黝	yzll/
莸	yzcy/
耰	yzlw/
槱	yzmh/
蝤	yziy/
浟	yzdw/
蝣	yziz/
匝	zakj/
拶	zafx/
遭	zczo/
燥	zchm/
躁	zczm/
唣	zckq/
𥖨	zcum/
哉	zdgk/
栽	zdgm/
灾	zdbh/
责	zefb/
咋	zekv/
箦	zevb/
赜	zeib/
舴	zevv/
甑	zgbw/
曾	zgbo/
鄫	zgbe/
罾	zgso/
综	zgsu/
䎖	zgbx/
藏	zhci/
奘	zhpd/
姿	zidn/
滋	zidy/
渍	zidb/
梓	zimx/
咨	zidk/
恣	zidx/
赀	zivb/
訾	zivk/
笫	zivd/
粢	zidm/
吱	zikv/
孳	zibz/
觜	zivy/
孜	zizw/
淄	zidt/
耔	zilz/
鼒	zico/
虸	ziiz/
锱	zijt/
鄑	ziye/
錾	zjij/
拶	zjfx/
昝	zjwo/
佐	zorg/
唑	zokr/
胙	zoov/
捽	zofu/
岞	zouv/
综	zssu/
粽	zsmu/
疭	zsbr/
枞	zsmr/
偬	zsrx/
珇	zuwq/
咀	zvkq/
鲰	zzyy/
鄹	zzee/
